metric_id,agent_sk,date_key,invites_sent,invites_accepted,messages_sent,replies_received,acceptance_rate,reply_rate,invite_limit_utilization_pct,message_limit_utilization_pct,anomaly_score,risk_level,recommended_invite_capacity,recommended_message_capacity,updated_at
1,1,20260720,5,1,1,0,0.2,0.0,100.0,10.0,0.313,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
2,1,20260721,4,2,2,2,0.5,1.0,80.0,20.0,1.851,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
3,1,20260722,3,0,0,0,0.0,0.0,60.0,0.0,-0.713,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
4,1,20260723,5,1,1,1,0.2,1.0,100.0,10.0,0.313,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
5,1,20260724,4,0,0,0,0.0,0.0,80.0,0.0,-0.713,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
6,1,20260725,4,2,1,0,0.5,0.0,80.0,10.0,1.851,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
7,1,20260726,3,1,2,0,0.3333333333333333,0.0,60.0,20.0,0.344,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
8,1,20260727,5,4,4,0,0.8,0.0,100.0,40.0,2.519,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
9,1,20260728,5,1,1,0,0.2,0.0,100.0,10.0,-0.699,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
10,1,20260729,5,3,3,0,0.6,0.0,100.0,30.0,0.834,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
11,1,20260730,5,3,3,0,0.6,0.0,100.0,30.0,0.65,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
12,1,20260731,3,1,1,1,0.3333333333333333,1.0,60.0,10.0,-0.551,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
13,1,20260801,5,0,0,0,0.0,0.0,100.0,0.0,-1.955,WARNING,3,7,2026-08-19T14:07:00.584910+00:00
14,1,20260802,4,1,1,0,0.25,0.0,80.0,10.0,-0.261,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
15,1,20260803,3,2,2,1,0.6666666666666666,0.5,60.0,20.0,1.479,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
16,1,20260804,5,2,2,0,0.4,0.0,100.0,20.0,0.013,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
17,1,20260805,4,1,1,2,0.25,2.0,80.0,10.0,-0.628,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
18,1,20260806,3,1,0,0,0.3333333333333333,0.0,60.0,0.0,-0.125,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
19,1,20260807,3,1,2,0,0.3333333333333333,0.0,60.0,20.0,-0.108,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
20,1,20260808,4,1,1,0,0.25,0.0,80.0,10.0,-0.611,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
21,1,20260809,3,3,3,2,1.0,0.6666666666666666,60.0,30.0,4.607,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
22,1,20260810,3,3,3,1,1.0,0.3333333333333333,60.0,30.0,1.485,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
23,1,20260811,4,0,0,1,0.0,0.0,80.0,0.0,-1.637,WARNING,3,7,2026-08-19T14:07:00.584910+00:00
24,1,20260812,4,0,0,0,0.0,0.0,80.0,0.0,-1.061,CRITICAL,1,3,2026-08-19T14:07:00.584910+00:00
25,1,20260813,5,2,1,0,0.4,0.0,100.0,10.0,0.118,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
26,1,20260814,5,0,1,0,0.0,0.0,100.0,10.0,-0.953,WARNING,3,7,2026-08-19T14:07:00.584910+00:00
27,1,20260815,5,0,0,0,0.0,0.0,100.0,0.0,-0.734,CRITICAL,1,3,2026-08-19T14:07:00.584910+00:00
28,1,20260816,5,0,0,0,0.0,0.0,100.0,0.0,-0.591,CRITICAL,1,3,2026-08-19T14:07:00.584910+00:00
