activity_id,event_id,agent_sk,lead_sk,campaign_sk,date_key,event_timestamp,event_type,message_length,response_latency_hours,is_converted,created_at
1,EVT-0000001,1,28,2,20260720,2026-07-20T11:26:42.455873+00:00,INVITE_SENT,166,,0,2026-08-19 13:16:44
2,EVT-0000002,1,28,2,20260721,2026-07-21T11:02:41.369167+00:00,INVITE_ACCEPTED,0,3.7,0,2026-08-19 13:16:44
3,EVT-0000003,1,28,2,20260721,2026-07-21T13:39:55.207618+00:00,MESSAGE_SENT,442,,0,2026-08-19 13:16:44
4,EVT-0000004,1,28,2,20260721,2026-07-21T15:58:59.297365+00:00,REPLY_RECEIVED,148,2.59,1,2026-08-19 13:16:44
5,EVT-0000005,1,46,2,20260720,2026-07-20T14:23:42.455873+00:00,INVITE_SENT,239,,0,2026-08-19 13:16:44
6,EVT-0000006,1,46,2,20260720,2026-07-20T18:40:45.149683+00:00,INVITE_ACCEPTED,0,13.79,0,2026-08-19 13:16:44
7,EVT-0000007,1,46,2,20260720,2026-07-20T22:33:02.694702+00:00,MESSAGE_SENT,308,,0,2026-08-19 13:16:44
8,EVT-0000008,1,46,2,20260721,2026-07-21T08:19:45.871021+00:00,REPLY_RECEIVED,169,5.54,0,2026-08-19 13:16:44
9,EVT-0000009,1,64,1,20260720,2026-07-20T16:40:42.455873+00:00,INVITE_SENT,272,,0,2026-08-19 13:16:44
10,EVT-0000010,1,45,3,20260720,2026-07-20T16:12:42.455873+00:00,INVITE_SENT,274,,0,2026-08-19 13:16:44
11,EVT-0000011,1,45,3,20260721,2026-07-21T04:07:37.085032+00:00,INVITE_ACCEPTED,0,14.34,0,2026-08-19 13:16:44
12,EVT-0000012,1,45,3,20260721,2026-07-21T06:05:49.457380+00:00,MESSAGE_SENT,371,,0,2026-08-19 13:16:44
13,EVT-0000013,1,37,1,20260720,2026-07-20T12:02:42.455873+00:00,INVITE_SENT,166,,0,2026-08-19 13:16:44
14,EVT-0000014,2,76,1,20260720,2026-07-20T17:00:42.455873+00:00,INVITE_SENT,123,,0,2026-08-19 13:16:44
15,EVT-0000015,2,83,3,20260720,2026-07-20T15:36:42.455873+00:00,INVITE_SENT,204,,0,2026-08-19 13:16:44
16,EVT-0000016,2,83,3,20260721,2026-07-21T03:18:28.144960+00:00,INVITE_ACCEPTED,0,6.88,0,2026-08-19 13:16:44
17,EVT-0000017,2,83,3,20260721,2026-07-21T05:52:50.711510+00:00,MESSAGE_SENT,404,,0,2026-08-19 13:16:44
18,EVT-0000018,2,83,3,20260721,2026-07-21T10:12:39.174916+00:00,REPLY_RECEIVED,86,11.64,0,2026-08-19 13:16:44
19,EVT-0000019,2,102,3,20260720,2026-07-20T12:02:42.455873+00:00,INVITE_SENT,241,,0,2026-08-19 13:16:44
20,EVT-0000020,2,38,1,20260720,2026-07-20T09:15:42.455873+00:00,INVITE_SENT,278,,0,2026-08-19 13:16:44
21,EVT-0000021,2,36,3,20260720,2026-07-20T10:46:42.455873+00:00,INVITE_SENT,204,,0,2026-08-19 13:16:44
22,EVT-0000022,2,36,3,20260720,2026-07-20T18:23:37.447333+00:00,INVITE_ACCEPTED,0,4.95,0,2026-08-19 13:16:44
23,EVT-0000023,2,36,3,20260720,2026-07-20T21:44:36.110015+00:00,MESSAGE_SENT,371,,0,2026-08-19 13:16:44
24,EVT-0000024,2,46,3,20260720,2026-07-20T12:22:42.455873+00:00,INVITE_SENT,211,,0,2026-08-19 13:16:44
25,EVT-0000025,2,25,3,20260720,2026-07-20T17:38:42.455873+00:00,INVITE_SENT,211,,0,2026-08-19 13:16:44
26,EVT-0000026,2,25,3,20260721,2026-07-21T08:58:51.139582+00:00,INVITE_ACCEPTED,0,10.93,0,2026-08-19 13:16:44
27,EVT-0000027,2,25,3,20260721,2026-07-21T11:09:47.812883+00:00,MESSAGE_SENT,280,,0,2026-08-19 13:16:44
